見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
青字施設を月1回無料開放しています近代美術館・博物館：毎月第1日曜日紀伊風土記の丘：毎月1日自然博物館：毎月第2水曜日 ,,,,,,,,,,,,,,
県立近代美術館,073-436-8690,073-436-1337,〒640-8137和歌山市吹上1-4-14,9:30?17:00（入館は16:30まで）,月曜 （祝日の場合次の平日） ,特別展「もうひとつの日本美術史?近現代版画の名作2020」,展示,?11月23日（祝）,,,,,,
県立近代美術館,073-436-8690,073-436-1337,〒640-8137和歌山市吹上1-4-14,9:30?17:00（入館は16:30まで）,月曜 （祝日の場合次の平日） ,企画展「和歌山県立近代美術館 コレクションの50年」,展示,?12月20日（日）,,,,,,
県立博物館,073-436-8670,073-436-6643,〒640-8137和歌山市吹上1-4-14,9:30?17:00（入館は16:30まで）,月曜 （祝日の場合次の平日） ,創建1250年記念特別展「国宝粉河寺縁起と粉河寺の歴史」,展示,10月17日（土）?11月23日（祝）,,,,,,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日） ,館長講座(3)「仏教考古学あれこれ」,イベント,10月31日（土）13:30?15:00,,小学生以上,15人（先着順）,,10月15日13:00?,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日） ,民家ガイドツアー,イベント,11月1日（日）13:30?15:30,,小学生以上,15人（先着順）,,10月16日13:00?,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日） ,特別展シンポジウム「埴輪（はにわ）が語る古墳の祀（まつ）り」,展示,11月8日（日）10:30?16:30,,小学生以上,30人（先着順）,,10月23日13:00?,
県立自然博物館,073-483-1777,073-483-2721,〒642-0001海南市船尾370-1,9:30～17:00（入館は16:30まで）,月曜 （祝日の場合次の平日） ,ドングリひろいと工作教室,イベント,10月31日（土）13:00?16:00,宇久井ビジターセンター（那智勝浦町）,小学生以上（小学4年生以下は保護者同伴）,15人（抽選）,,10月17日まで,
県立自然博物館,073-483-1777,073-483-2721,〒642-0001海南市船尾370-1,9:30～17:00（入館は16:30まで）,月曜 （祝日の場合次の平日） ,熊野古道の植物観察,イベント,11月3日（祝）10:00?15:00,大野中地区（海南市）,小学5年生以上（小学生は保護者同伴）,30人（抽選）,,10月20日まで,
県立自然博物館,073-483-1777,073-483-2721,〒642-0001海南市船尾370-1,9:30～17:00（入館は16:30まで）,月曜 （祝日の場合次の平日） ,チリメンモンスターイン和歌山,イベント,11月23日（祝）13:30?15:30,,小学生以上（小学4年生以下は保護者同伴）,20人（抽選）,100円,11月9日まで ,
